Symbol,Company Name,Industry,Market Cap
LUV,Southwest Airlines Co.,Airlines,14116525421
LUXH,LuxUrban Hotels,Lodging,159039114
LVLU,Lulu's Fashion Lounge Holdings,Apparel Retail,85940688
LVO,LiveOne,Entertainment,96512288
LVOX,LiveVox Holdings,Software - Infrastructure,341983196
LVRO,Lavoro,Agricultural Inputs,606361600
LVS,Las Vegas Sands,Resorts & Casinos,37337740831
LVTX,LAVA Therapeutics,Biotechnology,30758247
LVWR,LiveWire Group,Auto Manufacturers,1956575040
LW,Lamb Weston Holdings,Packaged Foods,13636182183
LWAY,Lifeway Foods,Packaged Foods,156117528
LWLG,Lightwave Logic,Specialty Chemicals,563676080
LX,LexinFintech Holdings,Credit Services,330946840
LXEH,Lixiang Education Holding Co.,Education & Training Services,8000040
LXEO,Lexeo Therapeutics,Biotechnology,247919842
LXFR,Luxfer Holdings,Specialty Industrial Machinery,231628020
LXP,LXP Industrial Trust,REIT - Industrial,2469839468
LXRX,Lexicon Pharmaceuticals,Biotechnology,362488988
LXU,LSB Industries,Chemicals,678763496
LYB,LyondellBasell Industries,Specialty Chemicals,30068355917
LYEL,Lyell Immunopharma,Biotechnology,537197797
LYFT,"Lyft, Inc.",Software - Application,4025589185
LYG,Lloyds Banking Group,Banks - Regional,32731958989
LYRA,Lyra Therapeutics,Biotechnology,154582272
LYT,Lytus Technologies Holdings PTV.,Software - Application,5738075
LYTS,LSI Industries,Electronic Components,384251913
LYV,Live Nation Entertainment,Entertainment,19645690043
LZ,LegalZoom.com,Specialty Business Services,1981510164
LZB,La-Z-Boy,"Furnishings, Fixtures & Appliances",1327708260
LZM,Lifezone Metals,Other Industrial Metals & Mining,565823688
M,Macy's,Department Stores,3543560093
MA,Mastercard,Credit Services,359195596077
MAA,Mid-America Apartment Communities,REIT - Residential,14499650880
MAC,The Macerich Company,REIT - Retail,2515871697
MACA,Moringa Acquisition,Shell Companies,64498585
MACK,Merrimack Pharmaceuticals,Biotechnology,179012500
MAG,MAG Silver,Silver,1113854080
MAIA,MAIA Biotechnology,Biotechnology,29023167
MAIN,Main Street Capital,Asset Management,3353171040
MAMA,Mama's Creations,Packaged Foods,127349974
MAN,ManpowerGroup,Staffing & Employment Services,3631327088
MANH,Manhattan Associates,Software - Application,12858507672
MANU,Manchester United,Entertainment,3046526294
MAPS,WM Technology,Software - Application,193223808
MAQC,Maquia Capital Acquisition,Shell Companies,71244951
MAR,Marriott International,Lodging,57053312000
MARA,Marathon Digital Holdings,Capital Markets,1990713655
MARK,Remark Holdings,Software - Infrastructure,9065503
MARPS,Marine Petroleum Trust,Oil & Gas Midstream,9240000
MARX,Mars Acquisition,Shell Companies,98123520
MAS,Masco,Building Products & Equipment,12367759649
MASI,Masimo,Medical Instruments & Supplies,4345873268
MASS,908 Devices,Medical Devices,212759036
MAT,Mattel,Leisure,6877379535
MATH,Metalpha Technology Holding,Internet Content & Information,47085696
MATV,Mativ Holdings,Paper & Paper Products,765906400
MATW,Matthews International,Conglomerates,1103844771
MATX,Matson,Marine Shipping,3128378715
MAX,MediaAlpha,Internet Content & Information,641058560
MAXN,Maxeon Solar Technologies,Solar,331986829
MAYS,J.W. Mays,Real Estate Services,95547972
MBAC,M3-Brigade Acquisition II,Shell Companies,151766270
MBC,MasterBrand,"Furnishings, Fixtures & Appliances",1504105740
MBCN,Middlefield Banc,Banks - Regional,221412989
MBI,MBIA Inc.,Insurance - Specialty,343289689
MBIN,Merchants Bancorp,Banks - Regional,1349094240
MBIO,Mustang Bio,Biotechnology,14193958
MBLY,Mobileye Global,Auto Parts,29648362152
MBOT,Microbot Medical,Medical Instruments & Supplies,16624366
MBRX,Moleculin Biotech,Biotechnology,15233114
MBTC,Nocturne Acquisition,Shell Companies,59441759
MBUU,Malibu Boats,Recreational Vehicles,958135020
MBWM,Mercantile Bank,Banks - Regional,555671358
MC,Moelis & Company,Capital Markets,2886626960
MCAA,Mountain & Co. I Acquisition,Shell Companies,200848700
MCAC,Monterey Capital Acquisition,Shell Companies,124759360
MCAF,Mountain Crest Acquisition Corp. IV,Shell Companies,35642700
MCAG,Mountain Crest Acquisition V,Shell Companies,33865616
MCB,Metropolitan Bank Holding,Banks - Regional,413081218
MCBC,Macatawa Bank,Banks - Regional,331941720
MCBS,MetroCity Bankshares,Banks - Regional,538142384
MCD,McDonald's,Restaurants,195213746953
MCFT,MasterCraft Boat Holdings,Recreational Vehicles,382243994
MCHP,Microchip Technology,Semiconductors,41603448843
MCHX,Marchex,Advertising Agencies,63312316
MCK,McKesson,Medical Distribution,60217080000
MCO,Moody's,Financial Data & Stock Exchanges,60652182591
MCOM,Micromobility.com,Recreational Vehicles,9983469
MCRB,Seres Therapeutics,Biotechnology,166666500
MCRI,Monarch Casino & Resort,Resorts & Casinos,1198517133
MCS,The Marcus Corporation,Entertainment,493419497
MCVT,Mill City Ventures III,Credit Services,20528611
MCW,Mister Car Wash,Personal Services,1962518890
MCY,Mercury General,Insurance - Property & Casualty,2017722884
MD,Pediatrix Medical Group,Medical Care Facilities,831023820
MDAI,Spectral AI,Medical Devices,44878800
MDB,MongoDB,Software - Infrastructure,24479045706
MDBH,"MDB Capital Holdings, LLC",Capital Markets,97790028
MDC,M.D.C. Holdings,Residential Construction,3209698057
MDGL,Madrigal Pharmaceuticals,Biotechnology,2896567977
MDGS,Medigus,Medical Devices,5394199
MDIA,MediaCo Holding,Broadcasting,15616037
MDJH,MDJM Ltd,Real Estate Services,17366860
MDLZ,Mondelez International,Confectioners,93624102198
MDRR,Medalist Diversified REIT,REIT - Diversified,11782103
MDRX,Veradigm,Health Information Services,1479380400
MDT,Medtronic,Medical Devices,96588974244
MDU,MDU Resources Group,Conglomerates,3879303900
MDV,Modiv,REIT - Diversified,117695916
MDVL,MedAvail Holdings,Pharmaceutical Retailers,6213554
MDWD,MediWound,Biotechnology,77881705
MDWT,Midwest Holding,Insurance - Life,97735104
MDXG,MiMedx Group,Biotechnology,793691140
MDXH,MDxHealth,Diagnostics & Research,81591419
ME,23andMe Holding Co.,Diagnostics & Research,440267096
MEC,Mayville Engineering Company,Metal Fabrication,247362238
MED,Medifast,Personal Services,761386848
MEDP,Medpace Holdings,Diagnostics & Research,8413695114
MEDS,TRxADE HEALTH,Pharmaceutical Retailers,7458077
MEG,Montrose Environmental Group,Waste Management,765630372
MEGL,Magic Empire Global,Capital Markets,18025903
MEI,Methode Electronics,Electronic Components,867828950
MEIP,MEI Pharma,Biotechnology,47439563
MELI,MercadoLibre,Internet Retail,69518148133
MEOH,Methanex,Chemicals,2928226324
MERC,Mercer International,Paper & Paper Products,622673064
MESA,Mesa Air Group,Airlines,26196913
MESO,Mesoblast,Biotechnology,209924280
MET,MetLife,Insurance - Life,46444879708
META,Meta Platforms,Internet Content & Information,808477959461
METC,Ramaco Resources,Coking Coal,644600342
METCB,Ramaco Resources,Coking Coal,583279616
MF,Missfresh,Grocery Stores,6583373
MFA,MFA Financial,REIT - Mortgage,1007949240
MFC,Manulife Financial,Insurance - Life,34001188000
MFG,Mizuho Financial Group,Banks - Regional,45879879537
MFH,Mercurity Fintech Holding,Capital Markets,53984196
MFIC,MidCap Financial Investment,Asset Management,882224616
MFIN,Medallion Financial,Credit Services,197890539
MG,Mistras Group,Security & Protection Services,179993880
MGA,Magna International,Auto Parts,15312582558
MGAM,Mobile Global Esports,Electronic Gaming & Multimedia,7290511
MGEE,MGE Energy,Utilities - Diversified,2690195326
MGIC,Magic Software Enterprises,Information Technology Services,507131723
MGIH,Millennium Group International Holdings,Packaging & Containers,12600037
MGLD,The Marygold Companies,Asset Management,44849930
MGM,MGM Resorts International,Resorts & Casinos,13389923935
MGNI,Magnite,Advertising Agencies,1013496659
MGNX,MacroGenics,Biotechnology,328951845
MGOL,MGO Global,Advertising Agencies,6764713
MGPI,MGP Ingredients,Beverages - Wineries & Distilleries,2116541328
MGRC,McGrath RentCorp,Rental & Leasing Services,2497429012
MGRM,Monogram Orthopaedics,Medical Devices,87167360
MGRX,Mangoceuticals,Health Information Services,9861555
MGTX,MeiraGTx Holdings,Biotechnology,315537090
MGY,Magnolia Oil & Gas,Oil & Gas E&P,4792330843
MGYR,Magyar Bancorp,Banks - Regional,63756297
MHH,Mastech Digital,Staffing & Employment Services,100189440
MHK,Mohawk Industries,"Furnishings, Fixtures & Appliances",5412350178
MHLD,Maiden Holdings,Insurance - Reinsurance,174762320
MHO,M/I Homes,Residential Construction,2635345200
MHUA,Meihua International Medical Technologies Co.,Medical Instruments & Supplies,41176800
MI,NFT Ltd.,Internet Retail,6987882
MICS,The Singing Machine Company,Consumer Electronics,2680271
MIDD,The Middleby Corporation,Specialty Industrial Machinery,6293528230
MIGI,Mawson Infrastructure Group,Capital Markets,11331348
MIMO,Airspan Networks Holdings,Telecom Services,9994122
MIND,MIND Technology,Scientific & Technical Instruments,6287647
MINM,Minim,Communication Equipment,1585345
MIR,Mirion Technologies,Specialty Industrial Machinery,1784953236
MIRA,MIRA Pharmaceuticals,Drug Manufacturers - General,22319159
MIRM,Mirum Pharmaceuticals,Biotechnology,1397870910
MIRO,Miromatrix Medical,Biotechnology,91580128
MIST,Milestone Pharmaceuticals,Biotechnology,93805662
MITA,Coliseum Acquisition,Shell Companies,102732894
MITK,Mitek Systems,Software - Application,489176408
MITQ,Moving iMage Technologies,Communication Equipment,7907492
MITT,AG Mortgage Investment Trust,REIT - Mortgage,103926688
MIXT,MiX Telematics,Software - Application,132179650
MKC,McCormick & Company,Packaged Foods,17451568765
MKFG,Markforged Holding,Computer Hardware,149845561
MKL,Markel,Insurance - Property & Casualty,17734238565
MKSI,MKS Instruments,Scientific & Technical Instruments,4578095916
MKTW,MarketWise,Software - Application,89204066
MKTX,MarketAxess Holdings,Capital Markets,8289904858
ML,MoneyLion,Software - Application,243669432
MLAB,Mesa Laboratories,Scientific & Technical Instruments,501923514
MLCO,Melco Resorts & Entertainment,Resorts & Casinos,3745861163
MLEC,Moolec Science,Biotechnology,104417356
MLGO,MicroAlgo,Software - Infrastructure,143849976
MLI,Mueller Industries,Metal Fabrication,4503338400
MLKN,MillerKnoll,"Furnishings, Fixtures & Appliances",1829736660
MLM,Martin Marietta Materials,Building Materials,27371844096
MLNK,MeridianLink,Software - Application,1437670649
MLP,Maui Land & Pineapple Company,Real Estate Services,290450000
MLR,Miller Industries,Auto Parts,425776320
MLSS,Milestone Scientific,Medical Instruments & Supplies,60974851
MLTX,MoonLake Immunotherapeutics,Biotechnology,2742803104
MLYS,Mineralys Therapeutics,Biotechnology,339519177
MMAT,Meta Materials,Electronic Components,49664000
MMC,Marsh & McLennan Companies,Insurance Brokers,95621452960
MMI,Marcus & Millichap,Real Estate Services,1221124050
MMLP,Martin Midstream Partners L.P.,Oil & Gas Midstream,104291664
MMM,3M Company,Conglomerates,51840472869
MMS,Maximus,Specialty Business Services,4688239068
MMSI,Merit Medical Systems,Medical Instruments & Supplies,4149373425
MMV,MultiMetaVerse Holdings,Entertainment,46268460
MMYT,MakeMyTrip,Travel Services,4175166959
MNDO,MIND C.T.I.,Software - Application,37555538
MNDY,monday.com,Software - Application,6370698900
MNKD,MannKind,Biotechnology,1062685832
MNMD,Mind Medicine (MindMed),Biotechnology,122725221
MNOV,MediciNova,Biotechnology,93187780
MNPR,Monopar Therapeutics,Biotechnology,7220529
MNR,Mach Natural Resources LP,Oil & Gas Drilling,1745150000
MNRO,Monro,Auto Parts,844002588
MNSB,MainStreet Bancshares,Banks - Regional,156668210
MNSO,MINISO Group Holding,Specialty Retail,8416161654
MNST,Monster Beverage,Beverages - Non-Alcoholic,58200211200
MNTK,Montauk Renewables,Utilities - Diversified,1548676360
MNTN,Everest Consolidator Acquisition,Shell Companies,234600000
MNTS,Momentus,Aerospace & Defense,10291042
MNTX,Manitex International,Farm & Heavy Construction Machinery,92147055
MNY,MoneyHero,,31163730
MO,Altria Group,Tobacco,71930994849
MOB,Mobilicom,Communication Equipment,6898720
MOBQ,Mobiquity Technologies,Advertising Agencies,1304029
MOBV,Mobiv Acquisition,Shell Companies,83330006
MOD,Modine Manufacturing Company,Auto Parts,2203741095
MODD,Modular Medical,Medical Devices,25947096
MODG,Topgolf Callaway Brands,Leisure,2414897520
MODN,Model N,Software - Application,965173158
MODV,ModivCare,Medical Care Facilities,675597132
MOFG,MidWestOne Financial Group,Banks - Regional,331565621
MOG.A,Moog Inc.,Aerospace & Defense,4227435627
MOG.B,Moog Inc.,Aerospace & Defense,4056686254
MOGO,Mogo Inc.,Software - Infrastructure,29631000
MOGU,MOGU Inc.,Internet Retail,16513838
MOH,Molina Healthcare,Healthcare Plans,19672169000
MOLN,Molecular Partners AG,Biotechnology,156660961
MOMO,Hello Group,Internet Content & Information,1356991840
MOND,Mondee Holdings,Travel Services,307248714
MOR,MorphoSys AG,Biotechnology,1192640280
MORF,Morphic Holding,Biotechnology,1081610825
MORN,Morningstar,Financial Data & Stock Exchanges,11190198195
MOS,The Mosaic Company,Agricultural Inputs,11084860800
MOTS,Motus GI Holdings,Medical Devices,32665625
MOV,Movado Group,Luxury Goods,647554859
MOVE,Movano,Medical Devices,50403596
MOXC,Moxian (BVI),Advertising Agencies,31288136
MP,MP Materials,Other Industrial Metals & Mining,2916996449
MPAA,Motorcar Parts of America,Auto Parts,150296718
MPB,Mid Penn Bancorp,Banks - Regional,336414287
MPC,Marathon Petroleum,Oil & Gas Refining & Marketing,60288478320
MPLN,MultiPlan,Health Information Services,1071643690
MPLX,MPLX LP,Oil & Gas Midstream,36087492000
MPTI,M-tron Industries,Electronic Components,71041476
MPU,Mega Matrix,Rental & Leasing Services,21744041
MPW,Medical Properties Trust,REIT - Healthcare Facilities,3261519974
MPWR,Monolithic Power Systems,Semiconductors,23551209540
MPX,Marine Products,Recreational Vehicles,351215673
MQ,Marqeta,Software - Infrastructure,2817480738
MRAI,Marpai,Healthcare Plans,3276962
MRAM,Everspin Technologies,Semiconductors,183970260
MRBK,Meridian,Banks - Regional,122061576
MRC,MRC Global,Oil & Gas Equipment & Services,951014753
MRCC,Monroe Capital,Asset Management,150580785
MRCY,Mercury Systems,Aerospace & Defense,2207190664
MRDB,MariaDB,Software - Infrastructure,30467430
MREO,Mereo BioPharma Group,Biotechnology,293107887
MRIN,Marin Software,Software - Application,5818311
MRK,Merck & Co.,Drug Manufacturers - General,262328830833
MRKR,Marker Therapeutics,Biotechnology,27661076
MRM,MEDIROM Healthcare Technologies,Personal Services,25828425
MRNA,Moderna,Biotechnology,29507374670
MRNS,Marinus Pharmaceuticals,Biotechnology,381108000
MRO,Marathon Oil,Oil & Gas E&P,16632164361
MRSN,Mersana Therapeutics,Biotechnology,171119940
MRT,Marti Technologies,Software - Application,44688630
MRTN,Marten Transport,Trucking,1492833240
MRTX,Mirati Therapeutics,Biotechnology,3929058158
MRUS,Merus,Biotechnology,1435441648
MRVI,Maravai LifeSciences Holdings,Biotechnology,1732024214
MRVL,Marvell Technology,Semiconductors,44313408000
MS,Morgan Stanley,Capital Markets,125218920000
MSA,MSA Safety,Security & Protection Services,6309840712
MSB,Mesabi Trust,Steel,263974416
MSBI,Midland States Bancorp,Banks - Regional,499696730
MSC,Studio City International Holdings,Resorts & Casinos,920828920
MSCI,MSCI Inc.,Financial Data & Stock Exchanges,39367141536
MSEX,Middlesex Water Company,Utilities - Regulated Water,1207560312
MSFT,Microsoft,Software - Infrastructure,2622101361869
MSGE,Madison Square Garden Entertainment,Entertainment,1509612753
MSGM,Motorsport Games,Electronic Gaming & Multimedia,8160990
MSGS,Madison Square Garden Sports,Entertainment,4174072160
MSI,Motorola Solutions,Communication Equipment,50009128400
MSM,MSC Industrial Direct Co.,Industrial Distribution,5597073870
MSN,Emerson Radio,Consumer Electronics,11573485
MSS,Maison Solutions,Grocery Stores,118372800
MSSA,Metal Sky Star Acquisition,Shell Companies,96178610
MSTR,MicroStrategy,Software - Application,6394612070
MT,ArcelorMittal,Steel,19488250696
MTA,Metalla Royalty & Streaming,Other Precious Metals & Mining,159575290
MTAL,Metals Acquisition,Shell Companies,537344340
MTB,M&T Bank,Banks - Regional,20339623500
MTBL,Moatable,Software - Application,21134846
MTC,MMTec,Software - Application,229016741
MTCH,Match Group,Internet Content & Information,8186881516
MTD,Mettler-Toledo International,Diagnostics & Research,22565785488
MTDR,Matador Resources Company,Oil & Gas E&P,7441172100
MTEK,Maris-Tech,Electronic Components,7957285
MTEM,Molecular Templates,Biotechnology,26924291
MTEX,Mannatech,Household & Personal Products,15534450
MTG,MGIC Investment,Insurance - Specialty,4919497282
MTH,Meritage Homes,Residential Construction,4905226326
MTLS,Materialise NV,Software - Application,335501696
MTN,Vail Resorts,Resorts & Casinos,8570630900
MTNB,Matinas BioPharma Holdings,Biotechnology,49970948
MTR,Mesa Royalty Trust,Oil & Gas E&P,25531183
MTRN,Materion,Other Industrial Metals & Mining,2296875840
MTRX,Matrix Service Company,Engineering & Construction,319715150
MTRY,Monterey Bio Acquisition,Shell Companies,48779213
MTSI,MACOM Technology Solutions Holdings,Semiconductors,5326999552
MTTR,Matterport,Software - Application,662719200
MTW,The Manitowoc Company,Farm & Heavy Construction Machinery,475215624
MTX,Minerals Technologies,Specialty Chemicals,1928226075
MTZ,MasTec,Engineering & Construction,4067619432
MU,Micron Technology,Semiconductors,79695013916
MUFG,Mitsubishi UFJ Financial Group,Banks - Diversified,105692719688
MULN,Mullen Automotive,Auto Manufacturers,54500000
MUR,Murphy Oil,Oil & Gas E&P,7170637967
MUSA,Murphy USA,Specialty Retail,8127254520
MUX,McEwen Mining,Other Precious Metals & Mining,338015592
MVBF,MVB Financial,Banks - Regional,264064500
MVIS,MicroVision,Scientific & Technical Instruments,422511768
MVLA,Movella Holdings,Software - Application,26064589
MVST,Microvast Holdings,Electrical Equipment & Parts,439362177
MWA,Mueller Water Products,Specialty Industrial Machinery,2037434596
MWG,Multi Ways Holdings,Rental & Leasing Services,7373844
MX,Magnachip Semiconductor,Semiconductors,302751440
MXC,Mexco Energy,Oil & Gas E&P,27115634
MXCT,MaxCyte,Medical Devices,353987100
MXL,MaxLinear,Semiconductors,1389794396
MYE,Myers Industries,Packaging & Containers,661466715
MYFW,First Western Financial,Banks - Regional,142255925
MYGN,Myriad Genetics,Diagnostics & Research,1393655468
MYMD,MyMD Pharmaceuticals,Biotechnology,17522856
MYNA,Mynaric AG,Communication Equipment,136442455
MYNZ,Mainz Biomed B.V.,Diagnostics & Research,41198850
MYO,Myomo,Medical Devices,36324043
MYPS,PLAYSTUDIOS,Electronic Gaming & Multimedia,348305423
MYRG,MYR Group,Engineering & Construction,1955345690
MYSZ,My Size,Software - Application,3765988
MYTE,MYT Netherlands Parent B.V.,Luxury Goods,275893150
NA,Nano Labs,Semiconductors,82965163
NAAS,NaaS Technology,Specialty Retail,527478779
NABL,N-able,Information Technology Services,2454867100
NAII,Natural Alternatives International,Packaged Foods,37324405
NAK,Northern Dynasty Minerals,Other Industrial Metals & Mining,170059062
NAMS,NewAmsterdam Pharma Company,Biotechnology,849586817
NAOV,NanoVibronix,Medical Devices,3591478
NAPA,The Duckhorn Portfolio,Beverages - Wineries & Distilleries,1245974400
NARI,Inari Medical,Medical Devices,2770120920
NAT,Nordic American Tankers,Marine Shipping,975077320
NATH,Nathan's Famous,Restaurants,268853548
NATL,NCR Atleos,Software - Application,1649400340
NATR,Nature's Sunshine Products,Packaged Foods,343005468
NAUT,Nautilus Biotechnology,Biotechnology,358551970
NAVI,Navient,Credit Services,2003409840
NB,NioCorp Developments,Other Industrial Metals & Mining,172261952
NBHC,National Bank Holdings,Banks - Regional,1218240744
NBIX,Neurocrine Biosciences,Drug Manufacturers - Specialty & Generic,10980035856
NBN,Northeast Bank,Banks - Regional,396695587
NBR,Nabors Industries,Oil & Gas Drilling,962414284
NBSE,NeuBase Therapeutics,Biotechnology,2573155
NBST,Newbury Street Acquisition,Shell Companies,93814414
NBTB,NBT Bancorp,Banks - Regional,1690904943
NBTX,Nanobiotix,Biotechnology,221973221
NBY,NovaBay Pharmaceuticals,Biotechnology,1510541
NC,NACCO Industries,Thermal Coal,260358671
NCAC,Newcourt Acquisition,Shell Companies,99216735
NCL,Northann,Home Improvement Retail,379960000
NCLH,Norwegian Cruise Line Holdings,Travel Services,5875105440
NCMI,National CineMedia,Advertising Agencies,401651542
NCNA,NuCana,Biotechnology,24629410
